TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,price_inr,TouchScreen,HDD,SSD,SSHD,FStorage
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,1.44,20152,No,0,32,0,0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,1.9,48312,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,12,Linux,3,83512,No,1000,0,0,0
Ultrabook,13.5,2256x1504,Intel i5,4,Windows 10 S,1.25,95832,Yes,0,128,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.4,84040,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,76560,No,0,256,0,0
Gaming,17.3,1920x1080,Intel i5,8,Windows 10,2.7,96360,No,1000,128,0,0
Notebook,14.0,1366x768,Intel i3,8,Windows 10,2.1,34232,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.2,83512,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,45672,No,2000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.02,75240,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,46640,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,85976,No,1000,128,0,0
Ultrabook,15.6,1920x1080,Intel i5,8,Windows 10,1.88,96462,No,0,256,0,0
Ultrabook,12.0,2304x1440,Intel i5,8,macOS,0.92,132880,No,0,512,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.63,75680,No,0,256,0,0
Notebook,15.6,1920x1080,AMD A6,4,Windows 10,2.2,35112,No,0,128,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,34760,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.65,118712,No,1000,128,0,0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.83,61512,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.96,52711,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.2,127512,No,1000,128,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.21,145112,No,0,256,0,0
Gaming,15.6,1920x1080,AMD FX,8,Windows 10,2.45,61512,No,1000,0,0,0
